name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
Hutsmark,@Hutsmark22,"Fantastic vault getting close to paying out:
3 BAYC
2 MAYC
9 Coolcats
1 Doodle
What will be the next purchase??",2022-03-28T11:05:01.000Z,,,
PAPI CHEMA.,@F1REGG,a mi me has amenazado varias veces,2022-03-28T11:04:45.000Z,,,
ちゃむ,@chamu__u,,2022-03-28T11:04:35.000Z,,,1
猫,@nanasegnrou1,,2022-03-28T11:04:34.000Z,,,
水鳴 倫紅,@linc_for_music,,2022-03-28T11:04:16.000Z,,,
WidowMaker,@WidowMak3r,"Quiero decir que la manera de hacer las cosas no está consiguiendo mandar un buen mensaje, el mensaje que estamos usando para acusar al machismo que existe ahora mismo solo genera odio entre géneros, cuando lo que hace falta es que todos cooperemos para erradicar el machismo",2022-03-28T11:04:05.000Z,,,
Coorgertln.eth,@coorgertln,Woah life changing,2022-03-28T11:03:53.000Z,,,
BlockChainRobbie,@chain_robbie,@AzukiZen,2022-03-28T11:03:15.000Z,,,
chuckiecheese.eth,@chuckiecheesee1,"The hate is real  , jus remember guys… we are arguing over cartoon pics ",2022-03-28T11:03:07.000Z,,,
AlfaGreave,@AnoktaSamed,Azuki,2022-03-28T11:02:57.000Z,,,
Pablo,@BloopGG,mike  azuki  tu le harías daño físico a alguien?,2022-03-28T11:02:53.000Z,1,,1
Spacebar,@SpacebarETH,Azuki  bro.,2022-03-28T11:02:46.000Z,,,
Lil Az,@lil_Az26,@AzukiZen,2022-03-28T11:02:35.000Z,,,
水鳴 倫紅,@linc_for_music,,2022-03-28T11:04:16.000Z,,,
WidowMaker,@WidowMak3r,"Quiero decir que la manera de hacer las cosas no está consiguiendo mandar un buen mensaje, el mensaje que estamos usando para acusar al machismo que existe ahora mismo solo genera odio entre géneros, cuando lo que hace falta es que todos cooperemos para erradicar el machismo",2022-03-28T11:04:05.000Z,,,
Coorgertln.eth,@coorgertln,Woah life changing,2022-03-28T11:03:53.000Z,,,
BlockChainRobbie,@chain_robbie,@AzukiZen,2022-03-28T11:03:15.000Z,,,
chuckiecheese.eth,@chuckiecheesee1,"The hate is real  , jus remember guys… we are arguing over cartoon pics ",2022-03-28T11:03:07.000Z,,,
AlfaGreave,@AnoktaSamed,Azuki,2022-03-28T11:02:57.000Z,,,
Pablo,@BloopGG,mike  azuki  tu le harías daño físico a alguien?,2022-03-28T11:02:53.000Z,1,,1
Spacebar,@SpacebarETH,Azuki  bro.,2022-03-28T11:02:46.000Z,,,
Lil Az,@lil_Az26,@AzukiZen,2022-03-28T11:02:35.000Z,,,
akimyon,@a_akimyon,,2022-03-28T11:02:33.000Z,,,1
あづ,@O7aIe,,2022-03-28T11:02:13.000Z,,,
壁打ち,@kabeuchi_sasete,,2022-03-28T11:02:00.000Z,,,
WidowMaker,@WidowMak3r,"Hay mil maneras de tomarse estos temas, pero creo que la manera de abordarlo que llevan teniendo estos temas desde hace tiempo han sido las equivocadas.",2022-03-28T11:01:40.000Z,1,,
まゆり(チェルちゃんファン),@wankumauma1020,,2022-03-28T11:00:43.000Z,,,1
りま,@msrRIMA,,2022-03-28T10:59:50.000Z,1,,1
Maud,@Maudman_eth,"Every now and then I get sad that I missed out on  azuki , relics pass but then I remember I’m a part of  @themetav3rse  fam. WAGMI, watch out",2022-03-28T10:59:35.000Z,,,
Syed Saad Hussain,@CryptoNft420,"can I have one too bro???
I would never afford   @AzukiZen   may be I thought you would like to giveaway qnt of this  #nftart   someday ..  Well anyways bless you my man..",2022-03-28T10:59:30.000Z,,,
やいちゃん,@FuKaFuKaOMaRu,,2022-03-28T10:59:23.000Z,1,,1
まゆり(チェルちゃんファン),@wankumauma1020,(^^)d,2022-03-28T10:59:09.000Z,1,,1
Pisuke,@Pisuke_nft,,2022-03-28T10:59:01.000Z,,,7
りま,@msrRIMA,,2022-03-28T10:58:59.000Z,1,,1
Sovrn Capital,@sovrnvc,Azuki  & 3Landers Among Rocket-Fuelled NFTs Launching from the Floor,2022-03-28T10:58:51.000Z,,,
りま,@msrRIMA,,2022-03-28T10:59:50.000Z,1,,1
