name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
蓝慕楹,@lanying24113338,""" Bored   Ape   Yacht Club  is a wildly popular collection of nonfungible tokens, 
or NFTs, a status symbol coveted by celebrities, athletes and...""",2022-03-28T09:55:30.000Z,,,
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.47($78070.61) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-28T09:45:54.000Z,,2,2
まさ＊仮想通貨・NFT,@masa_nft_crypto,,2022-03-28T09:44:10.000Z,,,1
Whale NFT Alerts By Quest,@topnftalerts,"Top 3  #NFT  collections which  Bored   Ape  NFT holders SOLD the most in last 6 hrs: 

1. MAX PAIN AND FRENS BY XCOPY sold 44 times.
2. Mutant  Ape   Yacht Club  sold 34 times.
3. RaidParty Fighters sold 31 times.

For more stats, join Quest Discord.",2022-03-28T09:35:31.000Z,,,1
alexander,@soundproofjim,Bored   Ape   Yacht Club . The most concise demonstration of the global elite.,2022-03-28T09:26:46.000Z,,,
Crypto Coin Türk,@ccointurk,Madonna Değeri Yarım Milyon Dolardan Fazla Olan  Bored   Ape   Yacht Club  (BAYC)  #NFT 'sini Satın Aldı! Onedio,2022-03-28T09:16:04.000Z,,,
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.47($77967.81) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-28T09:15:56.000Z,,1,2
比特币总裁,@Peter40317,据 DappRadar 数据显示， #NFT  项目  Bored   Ape   Yacht Club （BAYC）市值突破 35 亿美元，总交易额约为 14.1 亿美元。当前 BAYC 地板价为 106.9  #ETH,2022-03-28T09:11:04.000Z,1,2,
EmoJi,@CyrsRocker1,"Yes,  Bored   Ape   Yacht Club  Giveaway... l'm giving away one of my   @BoredApeYC    Ape  (floor 100 ETH) - because I just want to change a life (yes, for real). Just Follow ,Retweet and Tag 3 Friends  Lucky Winner at 4,000 Retweets So Harry Up! #BAYC   #NFTGiveway",2022-03-28T08:42:07.000Z,14,18,19
Lotto Cats,@LottoCats,"As I said to  @0xtbroo  yesterday:

I WANT PEOPLE TO TOSS AND TURN AT NIGHT THINKING OF LOTTOCATS! I WANT PEOPLE TO THINK OF LOTTOCATS BEFORE THEY THINK OF  BORED   APE   YACHT CLUB  OR CRYPTOPUNKS!! 6/?",2022-03-28T08:39:19.000Z,1,,3
