name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
Whale NFT Alerts By Quest,@topnftalerts,"Top 3  #NFT  collections which Bored  Ape  NFT holders SOLD the most in last 6 hrs: 

1. MAX PAIN AND FRENS BY XCOPY sold 44 times.
2.  Mutant   Ape   Yacht Club  sold 34 times.
3. RaidParty Fighters sold 31 times.

For more stats, join Quest Discord.",2022-03-28T09:35:31.000Z,,,1
NFT Tracker SOLE Tools,@soletoolsapp,"More here:  https:// Ξ35.69   Mutant   Ape   Yacht Club  (#10445)
Ξ23      Mutant   Ape   Yacht Club  (#26948)
Ξ23      Mutant   Ape   Yacht Club  (#3021) #GameTime   #ERC721   #Crypto   #Zambia",2022-03-28T09:09:03.000Z,,,
NFT Whale Alert,@nftwhalealert,"Hourly Top Volume Mutant   Ape   Yacht Club : Ξ81.69 ($271,116.86)
World of Women Galaxy: Ξ70.49 ($233,955.71)
KIWAMI Genesis: Ξ56.21 ($186,543.59)
Azuki: Ξ47.00 ($155,985.95)
The Art of Seasons: Ξ24.95 ($82,821.53)",2022-03-28T09:00:06.000Z,,1,9
Billipots,@Billipots,"--------- determines the demand of rising  #NFT  Projects 1 Azuki: $47.6 million, +297.9%

2 Bored  Ape   Yacht Club : $46.8 million, -58.5%

3  Mutant   Ape   Yacht Club : $40.1 million, -37.9%

4 MURI: $26.0 million, +94.8%

5 WOW Galaxy: $23.9 million, N/A",2022-03-28T08:53:15.000Z,,,2
NFT Whale Alert｜We are hiring,@nftgobot," NFT Big Trade Transfer: [0x2d1194] -> [0xf563af] NFT:  Mutant   Ape   Yacht Club  #10445  https:// e4d786628fea6478f785a6d7e704777c86a7c6/10445 …  Price: 35.69 ETH ($118,429.63) Gas: 0.005 ETH ($16.6) #MAYC",2022-03-28T08:39:48.000Z,,,
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #3021 sold for 23 ETH! ($76277.43)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/3021 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/3021 … Rarity  7770/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-28T08:22:00.000Z,,,1
NFT FLOOR PRICE UPDATES,@0xbotfather,"Featured Collection:  @TheLoomSociety Daily floor price update

Cryptopunks: 71.99Ξ (  1.47%)
Goons of Balatroon: 0.165Ξ (  -8.33%)
Bored  Ape  YC: 106.9Ξ (  3.99%) Mutant   Ape   Yacht Club : 23.47Ξ (  3.44%)
CLONE X  X TAKASHI MURAKAMI: 15.0Ξ (  0.0%)",2022-03-28T08:07:05.000Z,1,,
clipped,@0xClipped,"Collection Name:  mutant - ape - yacht-club Floor Price: 23.47 Ξ
24hr Change: +55.95%  Total Volume: 295416.95 Ξ
One Day Volume: 1655.24 Ξ
Total Sales: 28247
Daily Sales: 61

Opensea:  http:// ant-ape-yacht-club … Floor buy:  http:// ant-ape-yacht-club?search[sortAscending]=true&search[sortBy]=PRICE&search[toggles][0]=BUY_NOW …   Unix: 1648448882",2022-03-28T06:28:02.000Z,,,
Trengible - Discover the nft trends,@Trengible," - 0x192 just bought #8661 for 23.2 ETH ($76,894.08)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-28 06:24:26 (GMT 0)

Detail:  https:// ht-club/8661-0x60e4d786628fea6478f785a6d7e704777c86a7c6-8661 …",2022-03-28T06:26:14.000Z,,,
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #8661 sold for 23.2 ETH (76.89K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/8661 …,2022-03-28T06:25:13.000Z,,,
nanocube.io | NFT alerts #2,@nanocubealerts2,"Mutant   Ape   Yacht Club  #8661 sold for 23.2 ETH! ($76950.22)

-  https:// 786628fea6478f785a6d7e704777c86a7c6/8661 … -  https:// 60e4d786628fea6478f785a6d7e704777c86a7c6/8661 … Rarity  13259/18022 #mayc   #mutantape    #mutantapeclub   #nft   #nanocube",2022-03-28T06:25:00.000Z,,1,8
NFT Tracker SOLE Tools,@soletoolsapp,"More here:  https:// Ξ111    Bored  Ape   Yacht Club  (#5842)
Ξ24.5    Mutant   Ape   Yacht Club  (#9094)
Ξ23.9    Mutant   Ape   Yacht Club  (#6251) #NFTArt   #OpenSeaArt   #KuCoin   #Tajikistan",2022-03-28T06:09:03.000Z,,,
"Learn Easy Guru | Finance, Tech and Management",@learneasyguru,Top  #NFT  Today Mutant   Ape   Yacht Club Price: $143k,2022-03-28T05:46:12.000Z,,1,2
"Learn Easy Guru | Finance, Tech and Management",@learneasyguru,Top  #NFT  Today Mutant   Ape   Yacht Club Price: $143k,2022-03-28T05:44:11.000Z,,,1
"Learn Easy Guru | Finance, Tech and Management",@learneasyguru,Top  #NFT  Today Mutant   Ape   Yacht Club Price: $170k,2022-03-28T05:40:11.000Z,,,
Portia Prudhomme,@PrudhommePorti1,Check out #22218 by MutantApeYachtClub at  http://  NFT!  https:// b=collectibles&asset=51d8828a3c3774a585f5b3e68f9a509b&edition=8988687a1bfa36d395de32211447e9bd&detail-page=PROFILE&event=portia2297 …  via  @cryptocom . I’m selling this  mutant   ape   yacht club  for $350. It’s sale time   check it out ,2022-03-28T05:36:43.000Z,,,2
NFT Monitor,@NFT_Monitor,  Mutant   Ape   Yacht Club  |  #MAYC   #NFT #25546 sold for 23.39 ETH (77.33K $)   https:// 786628fea6478f785a6d7e704777c86a7c6/25546 …,2022-03-28T05:19:14.000Z,,,3
Trengible - Discover the nft trends,@Trengible," - BennyHei138 just bought #25546 for 23.39 ETH ($77,328.74)

Collection:  Mutant   Ape   Yacht Club Date: 2022-03-28 05:18:43 (GMT 0)

Detail:  https:// ht-club/25546-0x60e4d786628fea6478f785a6d7e704777c86a7c6-25546 …",2022-03-28T05:19:11.000Z,,,
NftBossAlert,@nftbossalert,"Collection:  Mutant   Ape   Yacht Club  Mutant   Ape   Yacht Club  was bought
Price: 23.39 ETH ($77328.74) 
Seller: colintilley
Buyer: BennyHei138 https:// 786628fea6478f785a6d7e704777c86a7c6/25546 …  #MAYC   #NFTSales   #NFTWhale",2022-03-28T05:19:06.000Z,,,
NFT Whale Alert｜We are hiring,@nftgobot," NFT Big Trade Transfer: [0xdb30cc] -> [0x7eff7e] NFT:  Mutant   Ape   Yacht Club  #5800  https:// e4d786628fea6478f785a6d7e704777c86a7c6/5800 …  Price: 34.46 WETH ($114,058.81) Gas: 0.0092 ETH ($30.57) #MAYC",2022-03-28T04:45:22.000Z,,,
